id_personal;id_unidad;nombre;rut;sexo;edad;clasificacion
5;11;Frederic Brooks;37630974-6;mujer;44;ti
7;12;Jareth Castillo;45631604-2;mujer;52;ti
10;4;Clayton Golden;29728267-0;mujer;27;administracion
13;56;Wyatt Stephens;61662429-6;mujer;33;vendedor
16;42;Marianne Mays;63688364-6;mujer;47;asistente de aseo
17;51;Florrie Pacheco;95185947-8;hombre;29;vendedor
19;54;Clay Huynh;54106148-7;mujer;18;vendedor
22;3;Tyrese Bishop;54178021-1;mujer;29;administracion
27;3;Jasper Harvey;32359787-1;mujer;54;vendedor
30;29;Francis Luna;35776394-0;mujer;46;ti
31;9;Mahi Vargas;44171043-7;hombre;28;administracion
35;44;Roisin Contreras;61514910-1;mujer;22;administracion
41;47;Jordi Thorne;59089616-0;mujer;57;asistente de aseo
45;56;Jill Baker;40588157-8;hombre;57;ti
46;38;Jad Mercer;62820832-8;mujer;20;administracion
47;25;Darla Childs;61995722-9;hombre;21;administracion
48;47;Manav Hampton;60211995-5;hombre;34;ti
50;27;Laith Paul;74357811-2;mujer;49;asistente de aseo
54;54;Teddie Leal;15614052-k;mujer;34;asistente de aseo
56;32;Alasdair Lucas;27852199-0;hombre;56;vendedor
57;8;Sabah Skinner;74895468-6;hombre;46;vendedor
60;6;Reginald Tanner;45717384-9;mujer;36;ti
62;25;Timothy Senior;22274441-5;mujer;29;asistente de aseo
64;48;Codie Sampson;25342278-5;mujer;24;administracion
66;2;Ethel Colon;65855526-k;hombre;50;asistente de aseo
68;55;Afsana Roth;31690607-9;hombre;21;asistente de aseo
69;34;Loki Snyder;13938471-7;mujer;45;administracion
70;45;Milena Bright;12957899-8;hombre;37;vendedor
74;54;Awais Berger;46187096-1;mujer;39;vendedor
76;50;Charlene Chester;79446327-1;hombre;38;administracion
77;18;Simone Akhtar;18969557-8;hombre;53;administracion
78;17;Andrea Chen;21840388-3;hombre;51;ti
80;36;Arwen Flores;47673879-2;hombre;34;ti
81;21;Kimora Ridley;33461543-k;mujer;28;administracion
83;28;Jeff Lane;69705129-5;hombre;21;vendedor
87;34;Agnes Singleton;43776217-1;mujer;34;asistente de aseo
88;39;Florrie Drew;59445067-1;hombre;55;administracion
90;32;Julia Moses;77941465-5;hombre;39;vendedor
92;24;Caprice Davies;60517573-2;hombre;22;administracion
94;6;Herbert Hawes;46491043-3;mujer;19;vendedor
98;12;Shay Glass;38405094-8;mujer;45;vendedor
105;52;Noah Avalos;79625227-8;mujer;31;ti
107;50;Mcauley Robles;34352032-8;mujer;48;ti
108;0;Stanley Soto;58748811-6;mujer;26;vendedor
111;20;Anaya Rice;62832139-6;hombre;52;asistente de aseo
112;34;Teddy Henderson;11091024-k;hombre;51;ti
113;27;Naya Melia;29676675-5;mujer;59;administracion
117;43;Tyrique Healy;29989393-6;mujer;22;ti
121;46;Kimberly Mason;97632703-9;hombre;20;vendedor
134;37;Tevin Walter;34882918-1;mujer;46;asistente de aseo
135;55;Mila Rhodes;49166815-6;hombre;58;vendedor
138;7;Nabila Byers;30854312-9;mujer;25;vendedor
139;15;Verity Murray;60987426-0;hombre;47;administracion
143;52;Casper Pruitt;11554909-k;mujer;47;asistente de aseo
147;1;Nyla Paul;91059844-9;mujer;42;vendedor
150;30;Rebeca Park;32628385-1;hombre;41;vendedor
152;49;Makayla Crowther;25368817-3;mujer;20;asistente de aseo
155;12;Jibril Davie;99748016-3;hombre;32;administracion
162;37;Amelia-Rose Nguyen;22479749-4;hombre;45;administracion
163;48;Callie Collier;80843691-4;hombre;29;ti
164;51;Owain Rollins;28738037-2;hombre;46;vendedor
166;40;Jean Cullen;20032612-1;hombre;54;administracion
170;0;Bridget Mckee;10669832-5;hombre;56;vendedor
171;17;Kofi Mcdermott;22532060-8;hombre;37;administracion
175;5;Mared Pineda;17459269-1;hombre;60;administracion
176;54;Danica Hutchings;48433213-4;mujer;23;asistente de aseo
180;48;Imaad Knox;35785969-7;mujer;49;ti
182;41;Heena Valenzuela;60854678-2;mujer;55;administracion
186;5;Tyrell Clay;23970806-4;hombre;47;ti
190;20;Angus Fleming;23648509-9;hombre;29;administracion
193;20;Sienna Neale;58303600-8;hombre;22;ti
195;37;Julie Hart;23819538-1;hombre;48;vendedor
197;28;Adela Tillman;86164302-6;hombre;45;ti
201;37;Rehaan Dunlop;70116705-8;mujer;25;vendedor
202;32;Dane Sharma;30928102-0;mujer;42;ti
203;19;Nakita Meza;33466037-0;mujer;52;ti
204;12;Daria Ellison;63483183-5;hombre;49;vendedor
208;55;Kiran Hanna;88697741-7;mujer;36;vendedor
209;5;Krista Head;67414624-8;mujer;33;ti
211;6;Conrad Buchanan;85122660-5;mujer;36;vendedor
212;37;Arif Thorne;56485501-4;mujer;33;asistente de aseo
215;45;Adyan Wicks;77214559-4;hombre;52;asistente de aseo
218;30;Fred Salter;92898031-6;mujer;31;asistente de aseo
223;31;Jorgie Power;58844715-4;mujer;23;ti
225;16;Mai Regan;80698616-k;hombre;35;asistente de aseo
226;52;Abdur Heath;40127235-6;mujer;41;ti
229;30;Christopher Macleod;51433500-1;hombre;51;vendedor
231;12;Myles Nash;58976828-0;hombre;52;ti
234;42;Lester Contreras;71162268-3;mujer;51;ti
237;25;Madeleine Henson;82319208-8;mujer;21;vendedor
241;53;Naima Perez;89265324-0;hombre;40;ti
244;0;Natalya Morgan;37981852-8;hombre;34;administracion
249;22;Kyle Aguirre;53783913-9;hombre;30;vendedor
252;30;Finnian Waller;45751112-4;hombre;18;administracion
255;46;Gage Stafford;11798235-1;hombre;59;ti
256;55;Yahya York;41091494-8;hombre;21;ti
260;7;Anam Mcarthur;12166206-k;hombre;44;ti
261;10;Georga Duffy;11557739-5;mujer;47;asistente de aseo
263;13;Santino Robson;54475883-7;mujer;23;asistente de aseo
271;1;Alistair Sanford;70012917-9;mujer;59;vendedor
272;32;Libbie Camacho;87859472-k;mujer;59;asistente de aseo
278;44;Alexis Kearney;30364676-0;hombre;22;vendedor
279;45;Arnav Shannon;82376572-k;hombre;54;asistente de aseo
280;43;Evelina Dickerson;13068977-9;hombre;46;ti
290;48;Jade Thatcher;47981838-k;hombre;30;asistente de aseo
292;19;Cleo Goodwin;29950437-9;hombre;49;ti
293;7;Austin Riddle;14240870-8;hombre;24;vendedor
294;0;Ines Fountain;59150917-9;hombre;34;ti
295;6;Keeva Allan;60158787-4;hombre;37;administracion
297;10;Lara Mcmahon;20672410-2;mujer;44;ti
301;42;Hina Oneal;42679613-9;hombre;18;administracion
303;32;Kory Hays;17286061-3;mujer;29;asistente de aseo
305;55;Ranveer Cope;58963604-k;mujer;23;administracion
307;34;Aran Osborn;85778387-5;mujer;57;vendedor
308;15;Arfa Crouch;88104231-2;mujer;54;asistente de aseo
310;24;Annabelle Hester;33874298-3;mujer;41;vendedor
312;5;Gregg Douglas;18902520-3;mujer;55;ti
319;12;Kinga Redmond;78459862-4;hombre;22;ti
320;33;Henri Barrett;26113418-7;hombre;40;administracion
322;34;Elleanor Kane;86339917-3;mujer;23;vendedor
325;47;Ava Gilbert;81203114-7;mujer;21;asistente de aseo
326;25;Haris Humphreys;38072383-2;hombre;28;asistente de aseo
330;32;Gerrard Ho;22150901-3;mujer;47;vendedor
337;38;Catriona Cresswell;83640016-k;mujer;36;vendedor
338;8;Mysha Firth;77354291-0;hombre;22;ti
341;1;Evie-Grace Middleton;36706688-1;mujer;47;ti
343;3;Bridie Stanley;15369176-2;hombre;51;ti
348;47;Sara Horn;27143992-k;mujer;33;asistente de aseo
349;6;Reiss Lutz;19410523-1;hombre;29;asistente de aseo
352;54;Rhydian Keeling;44372095-2;mujer;22;asistente de aseo
359;35;Nina Holding;17159919-9;mujer;36;asistente de aseo
360;50;Hiba Clemons;44822766-9;hombre;43;asistente de aseo
364;47;Keanan Cordova;90739234-1;mujer;33;vendedor
370;35;Kailum Caldwell;81560843-7;mujer;52;ti
