id_personal;nombre;rut;sexo;edad
0;Corban Stacey;15286948-7;hombre;31
1;Summer Clements;13993032-0;hombre;29
2;Sia Begum;10348170-8;mujer;27
3;Rochelle Cain;46088353-9;hombre;27
4;Ollie Morrow;20180335-7;hombre;27
6;Aadam Dunlop;66540267-3;hombre;30
8;Alesha Roth;80885102-4;hombre;19
9;Khia Kline;22587614-2;mujer;22
11;Toni Morris;79029236-7;hombre;25
12;Rahul Horne;95435510-1;mujer;20
14;Dulcie Kearns;92931585-5;hombre;29
15;Imogen Wills;55994808-k;hombre;22
18;Jaidon Gay;84964932-9;mujer;36
20;Alisa Carpenter;56781936-1;hombre;39
21;Darcie-Mae Hutton;99116865-6;hombre;37
23;Nyah Croft;68035652-1;mujer;20
24;Evie-Grace Hayden;83131309-9;hombre;39
25;Katie Yoder;57078757-8;hombre;34
26;Ottilie Campos;78166652-1;mujer;28
28;Gabija Norton;12460058-8;hombre;19
29;Alexandra Naylor;85594953-9;mujer;19
32;Jonny Cortes;24945173-8;mujer;25
33;Ari Tomlinson;14377401-5;hombre;24
34;Cem Buckley;54801563-4;hombre;30
36;Uma Morales;77020926-9;mujer;19
37;Shamima Wormald;21924647-1;mujer;19
38;Eleasha Craig;58000701-5;hombre;24
39;Caitlyn Mckenzie;76160177-6;mujer;28
40;Romilly Heath;38317707-3;hombre;26
42;Malaki Wiggins;94123958-7;hombre;22
43;Adela Cordova;85394005-4;hombre;21
44;Alys Schwartz;33298524-8;mujer;36
49;Vijay Palacios;51667797-k;mujer;20
51;Samirah O'Brien;76356563-7;mujer;38
52;Charlie Rahman;99837067-1;mujer;22
53;Eoin Sosa;28060713-4;hombre;29
55;Dillon Reeves;83917354-7;mujer;34
58;Harriett Castillo;81559564-5;mujer;24
59;Macauley Davison;63459997-5;mujer;32
61;Kacy Stubbs;55012555-2;hombre;28
63;Annabelle Stephens;33090056-3;hombre;35
65;Quinn Munro;60574488-5;mujer;29
67;Haley Bonilla;55326528-2;hombre;19
71;Oliwia Livingston;33572631-6;mujer;27
72;Anne Bray;34966889-0;mujer;27
73;Alexandria Garrison;47377094-6;hombre;30
75;Braiden Hoover;26635765-6;hombre;28
79;Yisroel O'Neill;69265725-k;mujer;19
82;Jayden-James Mckay;38717290-4;mujer;25
84;Mary Manning;53234460-3;mujer;26
85;Hermione Ventura;58593290-6;hombre;27
86;Nataniel Miller;44100123-1;mujer;22
89;Grace O'Moore;70851011-4;mujer;39
91;Keith Mccall;53511335-1;mujer;40
93;Tiffany May;53747213-8;mujer;21
95;Kelise Fraser;73543707-0;mujer;19
96;Lacy Simon;79861684-6;hombre;23
97;Marianna Barry;61786224-7;hombre;21
99;Nathanael Carlson;70733075-9;hombre;24
100;Campbell Vazquez;89200986-4;hombre;36
101;Fariha Barnard;71962392-1;hombre;20
102;Subhan Pearce;53329659-9;hombre;22
103;Petra Sharp;78156640-3;hombre;24
104;Olivia-Mae Carey;69760987-3;mujer;24
106;Ira Houston;95777850-k;mujer;26
109;Geoffrey Ellis;96213302-9;hombre;20
110;Aviana Nairn;78918085-7;hombre;37
114;Lorraine Maxwell;89793517-1;hombre;20
115;Ivie Perez;25198755-6;hombre;30
116;Riccardo Hamilton;80588097-k;mujer;19
118;Jonathan Turner;30224213-5;mujer;40
119;Tierney Mackay;79344858-9;hombre;34
120;Corrie Kirkpatrick;84729190-7;hombre;29
122;Darragh Foreman;44770429-3;mujer;21
123;Nel Carson;63421928-5;hombre;39
124;Zayne Crane;31459690-0;hombre;29
125;Lilli Leech;13904984-5;mujer;31
126;Adnaan Rowley;34183638-7;hombre;26
127;Sian Montgomery;51827744-8;mujer;26
128;Arham Johnson;58496906-7;hombre;26
129;Josh Fry;93066103-1;mujer;23
130;Marwah Wiggins;82833215-5;hombre;40
131;John-James Burton;60747994-1;hombre;22
